Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ChEA_2022	EOMES 20176728 ChIP-ChIP TSCs Mouse	39/1243	1.504257e-05	1.011954e-03	0	0	2.251733e+00	2.500465e+01	HBS1L;TES;RIF1;PPP1R10;ZFAND5;RASEF;ARPC5L;CLTA;SMC5;SPINT2;ACTG1;STK3;EFNB2;PSMB7;PARD6B;TMEM43;CAPN7;CDH1;RAD21;RPL15;IER2;ATG5;BRD2;MYLIP;EGR2;EDN1;STARD10;GRHL2;DUSP6;SYTL2;MYO1D;NR4A1;KRT19;CLDN3;AEBP2;ID1;CLDN7;GRB2;PLP2
ChEA_2022	FOXA1 33576154 ChIP-Seq Human Liver ProstateCancer	53/1944	2.150230e-05	1.303405e-03	0	0	1.980165e+00	2.128153e+01	DDR1;HBS1L;TES;SLC44A4;RIF1;PPP1R10;ZNF292;ZFAND5;RASEF;BRK1;RPL8;BACH1;AQP1;IMMP2L;CAPN7;TMED4;DSP;BRD2;NSMCE2;LMO7;MIF;DUSP6;F5;CLDN3;SELENOS;LRATD2;DAD1;ESRP1;TAX1BP1;SNRPC;TRIB1;PPIA;MET;ATF3;LLGL2;UQCRB;STK3;NT5DC1;MYO6;UBQLN1;RHPN2;STX3;HEXIM1;YIPF3;CAV2;EIF2AK1;ARHGEF38;KLF4;GRHL2;SH3YL1;NDUFAF6;GRB2;RAMP1
ChEA_2022	STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer	81/3434	2.289766e-05	1.303405e-03	0	0	1.762417e+00	1.883050e+01	HBS1L;PATJ;HEXA;ZFAND5;ARPC5L;SAT1;DNPH1;ACTG1;IMMP2L;HINT3;CAPN7;FLOT1;EPG5;ITGB8;EPC2;UBXN4;PHLDA2;JUNB;SOX4;IER2;ZNF165;BRD2;MYLIP;EDN1;SEC13;ATP6V1G1;H2AC6;ANXA3;NSMCE2;KRT8;VPS13B;SHROOM3;LMO7;MIF;DUSP6;HLA-E;SUMF1;CLDN4;PRPF18;RPL7L1;SELENOP;NCOA7;SNRPC;TRIB1;MET;ATF3;LLGL2;IDI1;HDAC2;LAMA3;IFI6;TOB1;STK3;PSMB7;BCLAF1;ATP5F1A;UBQLN1;EMC4;ATG5;CDKN2B;UBE2H;ACBD5;GSN;JUP;HSPA5;DNAH14;RAB3IP;EYA4;ISG15;ARPC4;KLF4;NDUFAF6;ETNK1;ID1;ABI1;CHMP2B;TRMT11;PSMG2;OSBPL1A;FRYL;PTPN2
ChEA_2022	ATF3 27146783 Chip-Seq COLON Human	46/1628	3.458515e-05	1.828072e-03	0	0	2.033490e+00	2.088818e+01	PPP1R10;ARPC5L;BACH1;SAT1;HERPUD1;ACTG1;PARD6B;BCLAF1;TMEM43;HINT3;RAD21;UBQLN1;MAL2;MYH14;ITGB8;CEP192;S100A14;CCT8;STX3;PHLDA2;IER2;ZNF165;CDKN2B;HOMER1;HSPA5;ANXA3;RBM18;RAB3IP;ANXA13;KLF4;ISG20;VIL1;CLDN4;KRT18;ESRP1;ID1;CLDN7;FOSB;OCIAD2;SNRPC;TRIB1;RAMP1;PPIA;CDH17;ATF3;LLGL2
ChEA_2022	E2F1 18555785 ChIP-Seq MESCs Mouse	72/3015	5.151951e-05	2.541629e-03	0	0	1.758948e+00	1.736706e+01	HBS1L;RPL30;HEXA;ZFAND5;SMC5;SPINT2;ETFB;RPL8;MEA1;BACH1;SAT1;HERPUD1;ACTG1;LAPTM4B;IMMP2L;CDH1;EPC2;PHLDA2;JUNB;SOX4;IER2;IER3;TMED4;TMEM14C;HMGN1;BRD2;MYLIP;SEC13;ATP6V1G1;ANXA4;RBM18;ZFR;COBL;MIF;SUMF1;CLDN4;PRPF18;SUB1;RPL7L1;TAX1BP1;SNRPC;PPIA;IDI1;HDAC2;SEH1L;UQCRB;CXCR4;TOB1;ANAPC11;STK3;PSMB7;NT5DC1;PTDSS1;BCLAF1;ODF2L;RPL15;RHPN2;STX3;RPL18;MAP3K2;MARCKSL1;JUP;HSPA5;RAB3IP;ARPC4;MYO1E;ID1;ABI1;PLP2;RAB5A;FRYL;PTPN2
ChEA_2022	MITF 21258399 ChIP-Seq MELANOMA Human	100/4614	6.044331e-05	2.795503e-03	0	0	1.640533e+00	1.593582e+01	TES;RIF1;ZNF292;ZFAND5;RASEF;ARPC5L;RPL8;BACH1;AQP1;CAPN7;CDH1;PPFIA1;JUNB;IER2;IER3;TMEM14C;MYLIP;ATP6V1G1;NSMCE2;ANXA13;MIF;HLA-A;HLA-G;SYTL2;SUB1;SNRPC;TRIB1;PPIA;SEH1L;ANAPC11;MTDH;STK3;PTDSS1;ODF2L;RAD21;HEXIM1;UBE2H;PTPRN2;DNAH14;RAB3IP;STARD10;ISG20;GGCT;NR4A1;AHI1;RHEB;ID1;CHMP2B;NFE2L3;TRMT11;OSBPL1A;RAB5A;HBS1L;PPP1R10;ICA1;CLTA;HERPUD1;IMMP2L;ITGB8;BRD2;SEC13;ANXA4;VPS13B;COBL;TMC4;DUSP6;SUMF1;F5;AEBP2;TAX1BP1;NCOA7;CDH17;SMPDL3A;MET;HDAC2;LAMA3;IFI6;NEDD9;NT5DC1;PARD6B;RAB25;UBQLN1;STX3;MARCKSL1;GSN;MACC1;EYA4;PLEKHA5;KLF4;GRHL2;CPPED1;MYO1D;MYO1E;SH3YL1;KRT19;ABI1;FOSB;RAMP1;FRYL;PTPN2
ChEA_2022	SOX2 27498859 Chip-Seq STOMACH Mouse	44/1573	6.615720e-05	2.879784e-03	0	0	2.002922e+00	1.927507e+01	SEH1L;UQCRB;PPP1R10;HEXA;SPINT2;ETFB;TOB1;SAT1;BCLAF1;CDH1;RAD21;MYO6;SPIN1;UBQLN1;CEP192;RHPN2;JUNB;IER2;IER3;TMED4;HMGN1;MAP3K2;DSP;GSTM3;EDN1;ACBD5;DTNA;GSN;HSPA5;ELOVL5;ZFR;ANXA13;KRT8;DUSP6;F5;MYO1D;KRT19;KRT18;MYO5C;ID1;TRIB1;RAB5A;MET;LLGL2
ChEA_2022	JUND 26020271 ChIP-Seq HCASMC Human CoronaryArtery	23/629	1.065635e-04	4.380944e-03	0	0	2.569149e+00	2.349941e+01	BRD2;UBE2H;SUN1;HDAC2;GSN;HSPA5;ELOVL5;KLF4;SDCBP2;SYTL2;KIAA1217;ISG20;LAPTM4B;PARD6B;KRT19;ID1;SELENOW;UBQLN1;FOSB;UBXN4;TRIB1;ATF3;ATG5
ChEA_2022	RUNX1 27514584 Chip-Seq MCF-7 Human	43/1568	1.259220e-04	4.904332e-03	0	0	1.955475e+00	1.755987e+01	IDI1;RIF1;RASEF;IFI6;TOB1;LAPTM4B;PARD6B;PTDSS1;IMMP2L;EPCAM;CDH1;AGR3;RHPN2;PHLDA2;JUNB;IER2;IER3;DSP;MYLIP;MACC1;STARD10;KRT8;KLF4;GRHL2;DUSP6;VIL1;SH3YL1;AZGP1;KRT19;CLDN4;PRPF18;KRT18;CEACAM6;ESRP1;MYO5C;TAX1BP1;YME1L1;FOSB;PSMG2;TRIB1;CDH17;MET;LLGL2
ChEA_2022	CDX2 20551321 ChIP-Seq CACO-2 Human	16/360	1.415251e-04	5.236427e-03	0	0	3.114348e+00	2.760257e+01	BRD2;EDN1;PTPRN2;KRT8;NEDD9;COBL;KLF4;TOB1;DUSP6;ACTG1;KRT19;CLDN4;CEACAM6;ID1;RHPN2;SOX4
ChEA_2022	KLF5 25053715 ChIP-Seq YYC3 Human	43/1591	1.734497e-04	6.112036e-03	0	0	1.923982e+00	1.666096e+01	RASEF;LAMA3;IFI6;CXCR4;TOB1;PCSK5;MTDH;EFNB2;LAPTM4B;PARD6B;CAPN7;CDH1;ENPP2;RSPO2;AGR3;MYH14;ITGB8;RHPN2;SOX4;IER2;HEXIM1;BRD2;JUP;ANXA4;KCNH8;EYA4;KRT8;LMO7;HLA-G;GRHL2;CPPED1;HLA-E;MYO1D;SH3YL1;KRT18;CEACAM6;ID1;CLDN7;TAX1BP1;TRMT11;PLP2;CDH17;LLGL2
ChEA_2022	TP63 23658742 ChIP-Seq EP156T Human	68/2937	2.242015e-04	7.541323e-03	0	0	1.682716e+00	1.413981e+01	DDR1;SCOC;TES;CMAS;ZFAND5;RASEF;ARPC5L;ICA1;BACH1;PCSK5;HERPUD1;LAPTM4B;CDH1;EPSTI1;ENPP2;ITGB8;SAMD12;IER3;DSP;EDN1;ELOVL5;ANXA4;ANXA13;KRT8;COBL;LMO7;DUSP6;HLA-E;F5;AEBP2;DAD1;SUB1;ESRP1;NCOA7;PPIA;MET;ATF3;LAMA3;NEDD9;TNFRSF11B;EFNB2;BCLAF1;EPCAM;RAD21;MYO6;S100A14;CEP76;ATG5;MAP3K2;CDKN2B;JUP;CAV2;PLEKHA5;KLF4;GRHL2;MYO1D;MYO1E;SH3YL1;MYO5C;ABI1;NFE2L3;FOSB;GRB2;GOPC;TRMT11;PSMG2;OCIAD2;FRYL
ChEA_2022	FOXA1 27270436 ChIP-Seq LNCaP Human Prostate Carcinoma	47/1822	2.477862e-04	7.848776e-03	0	0	1.839153e+00	1.527038e+01	DDR1;EPHB6;PATJ;SLC44A4;RIF1;ZFAND5;RASEF;IFI6;TOB1;PCSK5;AQP1;HERPUD1;RAD21;MYO6;UBQLN1;EPC2;RHPN2;STX3;JUNB;SOX4;HEXIM1;CARMIL1;ATP6V1G1;ACBD5;DTNA;CEMIP2;EIF2AK1;STARD10;KRT8;PLEKHA5;COBL;LMO7;KRT10;SDCBP2;DUSP6;KIAA1217;ISG20;NDUFAF6;LRATD2;RPL7L1;SELENOP;TAX1BP1;LAMTOR1;TRIB1;RAMP1;MET;FRYL
ChEA_2022	TCFAP2C 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	50/1980	2.545549e-04	7.848776e-03	0	0	1.804836e+00	1.493681e+01	DDR1;RIF1;RASEF;ICA1;THYN1;CLTA;SMC5;RPL8;MEA1;ACTG1;LAPTM4B;CDH1;CCNL2;JUNB;HMGN1;BRD2;MYLIP;ELOVL5;KRT8;SHROOM3;DUSP6;SUMF1;CLDN3;DAD1;SUB1;CLDN7;TRIB1;PPIA;SEH1L;TOB1;ANAPC11;STK3;PARD6B;RAB25;RAD21;STX3;ATG5;UBE2H;ACBD5;MARCKSL1;JUP;STARD10;GRHL2;NR4A1;KRT19;KRT18;ID1;NFE2L3;GRB2;PLP2
ChEA_2022	LEF1 29337183 ChIP-Seq mESC Mouse Stem	56/2335	3.846077e-04	1.131725e-02	0	0	1.718671e+00	1.351440e+01	DDR1;C2CD5;ICA1;SPINT2;BACH1;PCSK5;SAT1;LGALS4;HINT3;CDH1;ENPP2;PPFIA1;JUNB;IER2;IER3;DSP;MYLIP;SUN1;ELOVL5;NSMCE2;ANXA13;KRT8;SHROOM3;COBL;WDR72;LMO7;SYTL2;AEBP2;DAD1;ESRP1;TRIB1;PPIA;SMPDL3A;ATF3;LAMA3;NEDD9;TOB1;EFNB2;ODF2L;MYO6;MYH14;S100A14;CYB5A;UBE2H;JUP;KLF4;GRHL2;NR4A1;AHI1;MYO1E;KRT19;ID1;NFE2L3;FOSB;OSBPL1A;FRYL
ChEA_2022	OCT4 18692474 ChIP-Seq MEFs Mouse	43/1655	4.027198e-04	1.131725e-02	0	0	1.841080e+00	1.439222e+01	HDAC2;CMAS;RIF1;PPP1R10;HEXA;RPL8;MEA1;BACH1;EFNB2;HINT3;CDH1;RAD21;SPIN1;FLOT1;RHPN2;STX3;RPL18;JUNB;SOX4;IER2;IER3;GSTM3;BRD2;EGR2;UBE2H;DTNA;HOMER1;JUP;HSPA5;ZFR;SHROOM3;COBL;ISG15;MIF;CLDN4;CLDN3;AEBP2;RPL7L1;ID1;ABI1;PLP2;OSBPL1A;PTPN2
ChEA_2022	FOXA1 33576154 ChIP-Seq Human HilarLN ProstateCancer	25/781	4.129269e-04	1.131725e-02	0	0	2.236749e+00	1.742928e+01	DDR1;WASHC5;SLC44A4;MAL2;ITGB8;RHPN2;HEXIM1;BRD2;CEMIP2;EIF2AK1;KRT8;LMO7;KLF4;GRHL2;DUSP6;F5;ISG20;NR4A1;LRATD2;RPL7L1;SELENOP;GRB2;TRIB1;ATF3;LLGL2
ChEA_2022	ILF3 29590119 ChIP-Seq K562 Human BoneMarrow Leukemia	23/700	4.909096e-04	1.277186e-02	0	0	2.291157e+00	1.745690e+01	ZNF165;MYLIP;IDI1;C2CD5;UBE2H;TES;CMAS;ZNF292;DNAH14;ZFR;MTDH;NT5DC1;IMMP2L;HINT3;SELENOS;RHEB;ID1;NCOA7;GOPC;NELFCD;ATF3;PTPN2;IER3
ChEA_2022	SMRT 27268052 Chip-Seq Bcells Human	42/1621	5.005187e-04	1.277186e-02	0	0	1.832204e+00	1.392450e+01	IDI1;SCOC;CMAS;RIF1;ZNF292;ZFAND5;PCSK5;TMEM43;ENPP2;AGR3;MYH14;ITGB8;RPL15;AP1M2;ATG5;MYLIP;EGR2;EDN1;CDKN2B;UBE2H;GSN;ELOVL5;CAV2;RBM18;MACC1;KCNH8;DNAH14;ZFR;GRHL2;F5;AZGP1;CLDN4;SUB1;ABI1;NFE2L3;FOSB;GRB2;PSMG2;SNRPC;TRIB1;PPIA;PTPN2
ChEA_2022	FOXA2 19822575 ChIP-Seq HepG2 Human	59/2553	6.734378e-04	1.661147e-02	0	0	1.654147e+00	1.208043e+01	DDR1;SLC44A4;RIF1;ZFAND5;THYN1;ETFB;HERPUD1;CDH1;ENPP2;PPFIA1;EPC2;CCNL2;SAMD12;JUNB;IER3;DSP;BRD2;EDN1;ELOVL5;ANXA4;VPS13B;SHROOM3;SDCBP2;DUSP6;F5;KIAA1217;CLDN3;PRPF18;DAD1;RPL7L1;TRIB1;MET;LLGL2;IDI1;LAMA3;NEDD9;STK3;PSMB7;NT5DC1;PARD6B;RAD21;MAL2;MYH14;STX3;PTPRN2;GSN;JUP;STARD10;ISG20;VIL1;MYO1D;MYO1E;SH3YL1;KRT18;MYO5C;ID1;GRB2;OSBPL1A;FRYL
ChEA_2022	FOXA1 26457646 ChIP-Seq LHSAR Human ProstateCancer	49/2020	7.329625e-04	1.749652e-02	0	0	1.721200e+00	1.242433e+01	DDR1;EPHB6;SLC44A4;PPP1R10;ZNF292;PCSK5;FLOT1;EPC2;PHLDA2;JUNB;BRD2;SEC13;ATP6V1G1;SUN1;NSMCE2;KRT8;LMO7;MIF;SDCBP2;DUSP6;HLA-E;KIAA1217;H2BC12;CLDN4;PRPF18;ESRP1;SELENOP;SELENOW;SNRPC;TRIB1;LLGL2;IDI1;BCLAF1;MYO6;UBQLN1;CEP192;CCT8;STX3;HEXIM1;HOMER1;HSPA5;EIF2AK1;STARD10;ARPC4;KLF4;GRHL2;ISG20;NR4A1;LAMTOR1
ChEA_2022	CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	36/1349	7.658224e-04	1.770964e-02	0	0	1.873606e+00	1.344230e+01	HDAC2;TES;PPP1R10;ZFAND5;NEDD9;TNFRSF11B;SAT1;EFNB2;PSMB7;PARD6B;IMMP2L;TMEM43;HINT3;EPCAM;ENPP2;ITGB8;SAMD12;SOX4;IER2;HEXIM1;BRD2;EDN1;CDKN2B;PTPRN2;HSPA5;RAB3IP;EYA4;NSMCE2;KLF4;DUSP6;AEBP2;DAD1;ID1;TAX1BP1;NFE2L3;CDH17
ChEA_2022	GATA2 19941826 ChIP-Seq K562 Human	41/1618	9.068430e-04	2.033527e-02	0	0	1.784261e+00	1.249972e+01	DDR1;HBS1L;TES;CMAS;ICA1;SPINT2;AQP1;STK3;PSMB7;PARD6B;IMMP2L;CDH1;JUNB;IER2;IER3;TMEM14C;MAP3K2;MYLIP;CYB5A;EDN1;UBE2H;JUP;ELOVL5;CAV2;RBM18;NSMCE2;KRT8;KRT10;KLF4;DUSP6;HLA-E;VIL1;MYO1D;AHI1;KRT19;CLDN3;ID1;NCOA7;TRMT11;TRIB1;FRYL
ChEA_2022	PRDM14 21183938 ChIP-Seq MESCs Mouse	39/1520	9.670468e-04	2.087642e-02	0	0	1.803156e+00	1.251618e+01	DDR1;CMAS;UQCRB;RIF1;ZFAND5;TOB1;CAPN7;CDH1;SPIN1;FLOT1;S100A14;RHPN2;SOX4;IER2;HEXIM1;MAP3K2;DSP;BRD2;MYLIP;JUP;PLEKHA5;SHROOM3;ISG15;MIF;KLF4;SDCBP2;DUSP6;ISG20;NR4A1;MYO1E;CLDN4;PRPF18;AEBP2;ETNK1;CHMP2B;NFE2L3;NCOA7;RAB5A;LLGL2
ChEA_2022	SMARCA4 20176728 ChIP-ChIP TSCs Mouse	25/830	9.873982e-04	2.087642e-02	0	0	2.095164e+00	1.449945e+01	BACH1;HERPUD1;STK3;PARD6B;ODF2L;CAPN7;CDH1;RAD21;MYH14;JUNB;MAP3K2;BRD2;STARD10;KRT8;ARPC4;KRT19;CLDN4;CLDN3;KRT18;SUB1;ID1;FOSB;GRB2;TRIB1;RAB5A
ChEA_2022	GATA3 24758297 ChIP-Seq MCF-7 Human	41/1629	1.033040e-03	2.123472e-02	0	0	1.770826e+00	1.217487e+01	DDR1;EPHB6;HBS1L;TES;ZNF292;RASEF;NEDD9;MTDH;EFNB2;LAPTM4B;CDH1;MYO6;ENPP2;FLOT1;AGR3;RHPN2;IER3;TMED4;HEXIM1;EDN1;UBE2H;HOMER1;JUP;HSPA5;ANXA3;ELOVL5;EIF2AK1;MACC1;RAB3IP;KRT8;COBL;GRHL2;KIAA1217;MYO1E;SH3YL1;KRT19;CLDN4;KRT18;TRIB1;SMPDL3A;FRYL
ChEA_2022	STAT3 20064451 ChIP-Seq CD4+T Mouse	25/843	1.225230e-03	2.450461e-02	0	0	2.060448e+00	1.381453e+01	EPHB6;HBS1L;CMAS;SEH1L;CXCR4;BACH1;EGR2;CDKN2B;UBE2H;ACBD5;ANXA4;ZFR;KLF4;DUSP6;ISG20;AHI1;AEBP2;SUB1;GRB2;SNRPC;OSBPL1A;TRIB1;CDH17;ATF3;PTPN2
